First Name,Date of bird,Telephone,Address,Credit Card,Email
Keylex,18/08/1980,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Keylex@alexa.com
Luz,18/08/1983,(+54)319 133 44 44,97 Old Gate Avenue,5.10875E+15,Luz@alexa.com
Pedro,18/08/1982,(+54)319 112 22 44,97 Old Gate Avenue,5.10875E+15,Pedro@alexa.com
Miguel,18/08/1981,(+54)319 112 11 44,97 Old Gate Avenue,4.11111E+15,Miguel@alexa.com
Alberto,18/08/1960,(+54)319 112 44 44,97 Old Gate Avenue,4.11111E+15,Alberto@alexa.com
Camilla,,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Camilla@alexa.com
Hellen,18/08/1980,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Hellen@alexa.com
Kymberly,18/08/1980,,97 Old Gate Avenue,5.10875E+15,Kymberly@alexa.com
Bryan,18/08/1980,(+54)319 112 83 44,97 Old Gate Avenue,4.11111E+15,Bryan@alexa.com
Bruno,18/08/1980,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Bruno@alexa.com
Stacy,18/08/1980,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Stacy@alexa.com
Carl,18/08/1980,(+54)319 112 83 44,97 Old Gate Avenue,,Carl@alexa.com
Tommy,12/10/1994,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Tommy@alexa.com
Ryan,18/08/1980,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Ryan@alexa.com
Roberto,18/08/2000,54 319 112 83 44,97 Old Gate Avenue,4.11111E+15,Roberto@alexa.com
Pepe,,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Pepe@alexa.com
Franco,18/08/1980,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Franco@alexa.com
John,18/08/1995,,97 Old Gate Avenue,5.10875E+15,John@alexa.com
Mauro,18/08/1990,(+54)319 112 83 44,97 Old Gate Avenue,5.10875E+15,Mauro@alexa.com
Muriel,18/08/1982,(+54)319 112 83 44,,5.10875E+15,Muriel@alexa.com
